Time,header,latitude,longitude,altitude,utm_easting,HDOP,UTC,utm_northing,zone,letter
1675728609.9781158,$GPGGA,42.33795833333333,-71.08520833333334,12.8,328221.2026695963,1.6,1011.0,4689406.209066021,19,T
1675728610.9782243,$GPGGA,42.337941666666666,-71.085215,13.2,328220.60806535697,1.6,1012.0,4689404.371828017,19,T
1675728611.9810867,$GPGGA,42.33792833333334,-71.08522500000001,13.6,328219.74792704615,1.6,1013.0,4689402.911465372,19,T
1675728612.9786932,$GPGGA,42.337920000000004,-71.08523666666666,13.9,328218.76409828116,1.6,1014.0,4689402.009681721,19,T
1675728613.9790103,$GPGGA,42.33791333333333,-71.08524833333333,13.9,328217.7848076811,1.6,1015.0,4689401.2929688115,19,T
1675728614.9781713,$GPGGA,42.33790666666667,-71.08526,13.9,328216.8055168794,1.6,1016.0,4689400.576256034,19,T
1675728615.978816,$GPGGA,42.337896666666666,-71.08527000000001,14.0,328215.954454273,1.6,1017.0,4689399.486035047,19,T
1675728616.9802387,$GPGGA,42.33788833333333,-71.08528,14.0,328215.10792989284,1.7,1018.0,4689398.580884766,19,T
1675728617.9796631,$GPGGA,42.33788,-71.08529166666668,14.1,328214.1240999309,1.7,1019.0,4689397.679101738,19,T
1675728618.9792948,$GPGGA,42.337875000000004,-71.08530666666667,14.0,328212.87473603524,1.7,1020.0,4689397.154194414,19,T
1675728619.979299,$GPGGA,42.33788333333334,-71.08533000000001,14.0,328210.97515374294,1.7,1021.0,4689398.12668824,19,T
1675728620.979374,$GPGGA,42.33788833333333,-71.08534833333333,14.1,328209.4784107158,1.7,1022.0,4689398.718939623,19,T
1675728621.9798598,$GPGGA,42.337896666666666,-71.08536833333332,14.1,328207.85343994154,1.7,1023.0,4689399.684699836,19,T
1675728622.9782202,$GPGGA,42.337900000000005,-71.08538666666666,14.2,328206.3521587638,1.7,1024.0,4689400.091881294,19,T
1675728623.9788628,$GPGGA,42.337905,-71.08540666666666,14.2,328204.7181111921,1.7,1025.0,4689400.68750103,19,T
1675728624.97922,$GPGGA,42.33790666666667,-71.08542333333334,14.3,328203.3495968863,1.7,1026.0,4689400.906245191,19,T
1675728625.9800382,$GPGGA,42.337909999999994,-71.08544,14.3,328201.9856214854,1.7,1027.0,4689401.310060233,19,T
1675728626.9797869,$GPGGA,42.337909999999994,-71.08545666666667,14.5,328200.6125684889,1.7,1028.0,4689401.34373432,19,T
1675728627.9787989,$GPGGA,42.33790833333334,-71.08547166666668,14.7,328199.3722818876,1.7,1029.0,4689401.188970618,19,T
1675728628.9966671,$GPGGA,42.337905,-71.08548666666667,15.1,328198.127456285,1.7,1030.0,4689400.849136517,19,T
1675728629.9973183,$GPGGA,42.337900000000005,-71.0855,15.4,328197.0153969094,1.7,1031.0,4689400.320864531,19,T
1675728630.9973633,$GPGGA,42.337896666666666,-71.085515,16.0,328195.7705710172,1.7,1032.0,4689399.981030844,19,T
1675728631.9974449,$GPGGA,42.33789333333334,-71.08552833333333,16.5,328194.6630503359,1.7,1033.0,4689399.6378298355,19,T
1675728632.9981005,$GPGGA,42.33788666666666,-71.08554166666666,16.7,328193.5464514275,1.7,1034.0,4689398.9244877715,19,T
1675728633.9986172,$GPGGA,42.33788,-71.08555166666666,17.2,328192.7044630225,1.7,1035.0,4689398.204410725,19,T
1675728634.9983141,$GPGGA,42.33787166666666,-71.08556333333333,17.7,328191.72062996426,1.7,1036.0,4689397.302630753,19,T
1675728635.9819486,$GPGGA,42.33786333333334,-71.085575,18.0,328190.7367966549,1.7,1037.0,4689396.400850916,19,T
1675728636.9809847,$GPGGA,42.337853333333335,-71.08558500000001,18.1,328189.8857293695,1.7,1038.0,4689395.310632966,19,T
1675728637.9803884,$GPGGA,42.33784833333334,-71.08559833333334,18.1,328188.77366845566,1.7,1039.0,4689394.782362248,19,T
1675728638.9800568,$GPGGA,42.33784166666666,-71.08561,18.4,328187.7943736152,1.7,1040.0,4689394.065653417,19,T
1675728639.980998,$GPGGA,42.337835,-71.08562166666667,18.6,328186.8150785731,1.7,1041.0,4689393.348944718,19,T
1675728640.981922,$GPGGA,42.337830000000004,-71.085635,19.0,328185.70301710453,1.7,1042.0,4689392.8206744725,19,T
1675728641.9819376,$GPGGA,42.33782666666666,-71.08564666666666,19.3,328184.7328002221,1.7,1043.0,4689392.4741072785,19,T
1675728642.982648,$GPGGA,42.337819999999994,-71.08565666666667,19.6,328183.89081013144,1.7,1044.0,4689391.754031248,19,T
1675728643.979554,$GPGGA,42.33781166666666,-71.08566833333333,19.9,328182.90697503684,1.7,1045.0,4689390.852252464,19,T
1675728644.9817533,$GPGGA,42.337804999999996,-71.08568,20.2,328181.92767903605,1.7,1046.0,4689390.135544425,19,T
1675728645.9809003,$GPGGA,42.33779833333333,-71.08569166666666,20.2,328180.9483828336,1.7,1047.0,4689389.418836516,19,T
1675728646.9821577,$GPGGA,42.33779,-71.085705,20.2,328179.8272414682,1.7,1048.0,4689388.520425948,19,T
1675728647.9847007,$GPGGA,42.33778166666666,-71.08571666666667,20.0,328178.8434053977,1.7,1049.0,4689387.6186477095,19,T
1675728648.9825342,$GPGGA,42.33777499999999,-71.08573,19.9,328177.7268029307,1.7,1050.0,4689386.905308077,19,T
1675728649.981315,$GPGGA,42.33777,-71.08574333333333,19.7,328176.614739715,1.7,1051.0,4689386.377039228,19,T
1675728650.9811788,$GPGGA,42.337763333333335,-71.08575666666667,19.8,328175.4981368125,1.7,1052.0,4689385.663699939,19,T
