Time,Header.seq,Header.stamp.secs,Header.stamp.nsecs,Header.frame_id,Latitude,Longitude,Altitude,HDOP,UTM_easting,UTM_northing,UTC,Zone,Letter,fix_quality
1676486452.2590818,0,1676486452,20000000,GPS1_Frame,42.338960721666666,-71.088166905,37.065,3.0,327980.1997032726,4689523.49785597,184052.2,19,T,5
1676486453.2673914,0,1676486453,20000000,GPS1_Frame,42.338959016666664,-71.08816636833333,37.354,3.0,327980.239265452,4689523.307442947,184053.2,19,T,5
1676486454.2619538,0,1676486454,20000000,GPS1_Frame,42.338959966666664,-71.08816747666667,37.765,3.0,327980.1505495073,4689523.415175488,184054.2,19,T,5
1676486455.2765296,0,1676486455,20000000,GPS1_Frame,42.33895893166667,-71.088168005,37.863,3.0,327980.1042020835,4689523.301315466,184055.2,19,T,5
1676486456.2734373,0,1676486456,20000000,GPS1_Frame,42.338960575,-71.088168695,38.326,3.0,327980.0518398674,4689523.485191083,184056.2,19,T,5
1676486457.2693007,0,1676486457,20000000,GPS1_Frame,42.33896171333333,-71.08816912,38.741,19.3,327980.0199317399,4689523.612454165,184057.2,19,T,5
1676486458.285873,0,1676486458,20000000,GPS1_Frame,42.338958506666664,-71.08816987833333,38.631,1.1,327979.94871452625,4689523.257912368,184058.2,19,T,1
1676486459.269746,0,1676486459,20000000,GPS1_Frame,42.33896076333333,-71.088170645,39.157,1.1,327979.8917088887,4689523.510049096,184059.2,19,T,1
1676486460.2732542,0,1676486460,20000000,GPS1_Frame,42.338944338333334,-71.08817178,37.16,19.1,327979.7534157663,4689521.688473835,184100.2,19,T,5
1676486461.266343,0,1676486461,20000000,GPS1_Frame,42.338945355,-71.08817213333333,37.532,3.0,327979.7270798879,4689521.80208177,184101.2,19,T,5
1676486462.2692978,0,1676486462,20000000,GPS1_Frame,42.33894737833333,-71.088171985,38.082,3.0,327979.7448173411,4689522.026457473,184102.2,19,T,5
1676486463.2688172,0,1676486463,20000000,GPS1_Frame,42.33894772166666,-71.08817221333334,38.285,1.1,327979.7269430654,4689522.065043972,184103.2,19,T,1
1676486464.2672331,0,1676486464,20000000,GPS1_Frame,42.338949361666664,-71.08817208666666,38.606,1.1,327979.74185025855,4689522.246897254,184104.2,19,T,1
1676486465.2620132,0,1676486465,20000000,GPS1_Frame,42.33895421333333,-71.08817184833333,39.459,1.2,327979.7747147323,4689522.785155809,184105.2,19,T,1
1676486466.2663808,0,1676486466,20000000,GPS1_Frame,42.338962555,-71.08817235333333,40.779,1.2,327979.75585902564,4689523.712456187,184106.2,19,T,1
1676486467.2711751,0,1676486467,20000000,GPS1_Frame,42.33897464333333,-71.08817358666667,42.58,1.0,327979.68721881136,4689525.057268923,184107.2,19,T,1
