Time,header.seq,header.stamp.secs,header.stamp.nsecs,header.frame_id,imu.header.seq,imu.header.stamp.secs,imu.header.stamp.nsecs,imu.header.frame_id,imu.orientation.x,imu.orientation.y,imu.orientation.z,imu.orientation.w,imu.orientation_covariance,imu.angular_velocity.x,imu.angular_velocity.y,imu.angular_velocity.z,imu.angular_velocity_covariance,imu.linear_acceleration.x,imu.linear_acceleration.y,imu.linear_acceleration.z,imu.linear_acceleration_covariance,mag_field.header.seq,mag_field.header.stamp.secs,mag_field.header.stamp.nsecs,mag_field.header.frame_id,mag_field.magnetic_field.x,mag_field.magnetic_field.y,mag_field.magnetic_field.z,mag_field.magnetic_field_covariance,VNYMR
1678937273.2873356,2760,1678937273,252224206,imu1_frame,38464,1678937273,1678937273,imu1_frame,0.3382548941976971,-0.17242457841952508,-0.698579982895688,0.6064976494642117,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0.001571,-0.001796,0.00037,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0.501,-0.254,-9.722,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",38464,1678937273,1678937273,imu1_frame,0.2476,0.0157,0.5056,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)","$VNYMR,+016.449,+002.875,+001.534,+00.2476,+00.0157,+00.5056,+00.501,-00.254,-09.722,+00.001571,-00.001796,+00.000372*6B
"
1678937273.2873676,2761,1678937273,277347803,imu1_frame,38465,1678937273,1678937273,imu1_frame,0.3373447675279711,-0.17137651486051841,-0.6988378337639951,0.6070043493055122,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",-0.000518,0.001493,-0.00112,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0.501,-0.226,-9.71,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",38465,1678937273,1678937273,imu1_frame,0.2467,0.0177,0.5045,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)","$VNYMR,+016.446,+002.875,+001.534,+00.2467,+00.0177,+00.5045,+00.501,-00.226,-09.710,-00.000518,+00.001493,-00.001122*68
"
1678937273.3313322,2762,1678937273,302102565,imu1_frame,38466,1678937273,1678937273,imu1_frame,0.3353527921950548,-0.16961467085388798,-0.6999564816443465,0.6073139978645109,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0.001077,-0.00182,0.00014,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0.5,-0.253,-9.711,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",38466,1678937273,1678937273,imu1_frame,0.2458,0.0196,0.5033,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)","$VNYMR,+016.440,+002.875,+001.532,+00.2458,+00.0196,+00.5033,+00.500,-00.253,-09.711,+00.001077,-00.001820,+00.000147*65
"
1678937273.3370965,2763,1678937273,327214002,imu1_frame,38467,1678937273,1678937273,imu1_frame,0.33357403934006713,-0.16941175199714398,-0.6996718788072301,0.6086766634018181,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0.000522,0.001799,0.00029,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0.504,-0.256,-9.766,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",38467,1678937273,1678937273,imu1_frame,0.2439,0.0148,0.5066,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)","$VNYMR,+016.437,+002.878,+001.533,+00.2439,+00.0148,+00.5066,+00.504,-00.256,-09.766,+00.000522,+00.001799,+00.000292*68
"
1678937273.3832965,2764,1678937273,352162122,imu1_frame,38468,1678937273,1678937273,imu1_frame,0.3333414905643391,-0.16958316722160016,-0.6992889377434968,0.6091961766237599,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0.000668,0.001691,5e-05,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0.49,-0.255,-9.751,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",38468,1678937273,1678937273,imu1_frame,0.2439,0.0148,0.5066,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)","$VNYMR,+016.437,+002.879,+001.534,+00.2439,+00.0148,+00.5066,+00.490,-00.255,-09.751,+00.000668,+00.001691,+00.000055*68
"
1678937273.4273956,2765,1678937273,377246618,imu1_frame,38469,1678937273,1678937273,imu1_frame,0.33242732163296973,-0.16853404342730754,-0.6995425256990313,0.6096955033265317,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",-0.000753,-0.001271,3e-05,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0.492,-0.274,-9.728,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",38469,1678937273,1678937273,imu1_frame,0.2439,0.0158,0.4967,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)","$VNYMR,+016.434,+002.879,+001.534,+00.2439,+00.0158,+00.4967,+00.492,-00.274,-09.728,-00.000753,-00.001271,+00.000036*6A
"
1678937273.4274414,2766,1678937273,402075052,imu1_frame,38470,1678937273,1678937273,imu1_frame,0.3327321278185159,-0.16888379360882744,-0.699458171238015,0.6095292134607047,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0.000803,0.000413,-0.00073,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0.488,-0.25,-9.749,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",38470,1678937273,1678937273,imu1_frame,0.2429,0.0168,0.5054,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)","$VNYMR,+016.435,+002.879,+001.534,+00.2429,+00.0168,+00.5054,+00.488,-00.250,-09.749,+00.000803,+00.000413,-00.000738*6D
"
1678937273.471469,2767,1678937273,427310228,imu1_frame,38471,1678937273,1678937273,imu1_frame,0.3325115470977579,-0.16836780870666165,-0.6992375905172561,0.610045198362871,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0.000995,-0.001895,-0.00035,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0.487,-0.291,-9.732,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",38471,1678937273,1678937273,imu1_frame,0.2448,0.0138,0.5012,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)","$VNYMR,+016.434,+002.879,+001.535,+00.2448,+00.0138,+00.5012,+00.487,-00.291,-09.732,+00.000995,-00.001895,-00.000353*61
"
1678937273.4715078,2768,1678937273,452158927,imu1_frame,38472,1678937273,1678937273,imu1_frame,0.332595689434661,-0.16820153189406445,-0.698932480526087,0.6103947408879139,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",9.2e-05,-0.001247,0.00022,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0.478,-0.286,-9.747,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",38472,1678937273,1678937273,imu1_frame,0.2476,0.0157,0.5023,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)","$VNYMR,+016.434,+002.879,+001.536,+00.2476,+00.0157,+00.5023,+00.478,-00.286,-09.747,+00.000092,-00.001247,+00.000226*6E
"
1678937273.519547,2769,1678937273,477330923,imu1_frame,38473,1678937273,1678937273,imu1_frame,0.33266812110740507,-0.1687232409667615,-0.6984644851454233,0.6107468805872688,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",6e-06,0.000218,0.00078,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0.487,-0.234,-9.775,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",38473,1678937273,1678937273,imu1_frame,0.242,0.013,0.5044,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)","$VNYMR,+016.435,+002.880,+001.537,+00.2420,+00.0130,+00.5044,+00.487,-00.234,-09.775,+00.000006,+00.000218,+00.000788*62
"
