Time,header,latitude,longitude,altitude,utm_easting,HDOP,UTC,utm_northing,zone,letter
1675727463.4612806,$GPGGA,42.33933166666667,-71.086915,31.3,328084.3448453181,2.9,235104.0,4689562.156523409,19,T
1675727464.427117,$GPGGA,42.33933333333333,-71.08691666666667,31.3,328084.2120852801,2.9,235105.0,4689562.344963874,19,T
1675727465.425414,$GPGGA,42.33933333333333,-71.08691666666667,31.3,328084.2120852801,2.2,235106.0,4689562.344963874,19,T
1675727466.4243217,$GPGGA,42.33933333333333,-71.086915,31.2,328084.34938749,2.2,235107.0,4689562.341594076,19,T
1675727467.4246368,$GPGGA,42.33933833333334,-71.08691666666667,31.0,328084.2257118074,2.2,235108.0,4689562.900175882,19,T
1675727468.426047,$GPGGA,42.33933833333334,-71.08691666666667,31.0,328084.2257118074,2.2,235109.0,4689562.900175882,19,T
1675727469.4287567,$GPGGA,42.33933833333334,-71.08691666666667,31.0,328084.2257118074,2.2,235110.0,4689562.900175882,19,T
1675727470.4247055,$GPGGA,42.33933833333334,-71.08691666666667,31.0,328084.2257118074,2.2,235111.0,4689562.900175882,19,T
1675727471.4262116,$GPGGA,42.33933833333334,-71.08691666666667,31.0,328084.2257118074,2.2,235112.0,4689562.900175882,19,T
1675727472.4260943,$GPGGA,42.33933833333334,-71.08691666666667,31.0,328084.2257118074,2.2,235113.0,4689562.900175882,19,T
1675727473.4264796,$GPGGA,42.33933833333334,-71.08691666666667,31.0,328084.2257118074,2.2,235114.0,4689562.900175882,19,T
1675727474.4261708,$GPGGA,42.33933833333334,-71.08691666666667,31.0,328084.2257118074,2.2,235115.0,4689562.900175882,19,T
1675727475.4267771,$GPGGA,42.33933833333334,-71.08691666666667,31.0,328084.2257118074,2.2,235116.0,4689562.900175882,19,T
1675727476.4266448,$GPGGA,42.33933833333334,-71.08691666666667,31.0,328084.2257118074,2.2,235117.0,4689562.900175882,19,T
1675727477.427509,$GPGGA,42.33933833333334,-71.08691666666667,31.0,328084.2257118074,2.2,235118.0,4689562.900175882,19,T
1675727478.4260118,$GPGGA,42.33933999999999,-71.086915,30.6,328084.36755617877,2.3,235119.0,4689563.081876752,19,T
1675727479.4271152,$GPGGA,42.33933999999999,-71.086915,30.6,328084.36755617877,2.3,235120.0,4689563.081876752,19,T
1675727480.425844,$GPGGA,42.33933999999999,-71.08691333333333,30.4,328084.5048583762,2.3,235121.0,4689563.078506959,19,T
1675727481.426193,$GPGGA,42.33933999999999,-71.08691166666668,30.0,328084.64216056943,2.3,235122.0,4689563.075137167,19,T
1675727482.4260712,$GPGGA,42.33933833333334,-71.08691,29.6,328084.77492060536,2.3,235123.0,4689562.886696712,19,T
1675727483.4274049,$GPGGA,42.33933999999999,-71.08691,29.6,328084.77946276683,2.3,235124.0,4689563.071767379,19,T
1675727484.4266994,$GPGGA,42.33933833333334,-71.08691,29.3,328084.77492060536,2.3,235125.0,4689562.886696712,19,T
1675727485.4273582,$GPGGA,42.33933666666667,-71.08691,29.3,328084.77037844394,2.3,235126.0,4689562.701626043,19,T
1675727486.4269016,$GPGGA,42.33933666666667,-71.08691,29.3,328084.77037844394,2.3,235127.0,4689562.701626043,19,T
1675727487.4258199,$GPGGA,42.33933333333333,-71.08690833333334,29.1,328084.8985963336,2.3,235128.0,4689562.3281149175,19,T
1675727488.4297228,$GPGGA,42.33933333333333,-71.08690833333334,29.1,328084.8985963336,2.3,235129.0,4689562.3281149175,19,T
